OID,EFF_DATE,SITE_NO,SITE_TYPE_CODE,STATE_CODE,ARPT_ID,ARPT_NAME,CITY,COUNTRY_CODE,OWNERSHIP_TYPE_CODE,FACILITY_USE_CODE,RWY_ID,LAT1_DECIMAL,LONG1_DECIMAL,LAT2_DECIMAL,LONG2_DECIMAL,RWY_LEN,RWY_WIDTH,SURFACE_TYPE_CODE,COND,TREATMENT_CODE,PCN,PAVEMENT_TYPE_CODE,SUBGRADE_STRENGTH_CODE,TIRE_PRES_CODE,DTRM_METHOD_CODE,RWY_LGT_CODE,RWY_LEN_SOURCE,LENGTH_SOURCE_DATE,GROSS_WT_SW,GROSS_WT_DW,GROSS_WT_DTW,GROSS_WT_DDTW,Shape__Area,Shape__Length
892,7/11/2024 12:00:00 AM,02631.,A,CO,GUC,GUNNISON-CRESTED BUTTE RGNL,GUNNISON,US,PU,PU,06/24,38.53243991,-106.94508625,38.53974102,-106.91357963,9400,150,ASPH,EXCELLENT,GRVD,40,F,A,X,T,HIGH,3RD PARTY SURVEY,9/9/2014 12:00:00 AM,75,160,250,,1.35295604195562E-05,0.0655269901005519
893,7/11/2024 12:00:00 AM,02631.,A,CO,GUC,GUNNISON-CRESTED BUTTE RGNL,GUNNISON,US,PU,PU,17/35,38.5328268,-106.93939333,38.52464425,-106.93939766,2981,150,TURF-GRVL,FAIR,NONE,,,,,,,3RD PARTY SURVEY,9/9/2014 12:00:00 AM,,,,,4.29030933446484E-06,0.017413750321297
894,7/11/2024 12:00:00 AM,02634.4,A,CO,17V,HAXTUN MUNI,HAXTUN,US,PU,PU,17/35,40.62670713,-102.60794222,40.62217722,-102.60798988,1650,30,TURF-DIRT,POOR,NONE,,,,,,,,,,,,,4.89570993522648E-07,0.00927646265174812
895,7/11/2024 12:00:00 AM,02635.7,A,CO,HDN,YAMPA VALLEY,HAYDEN,US,PU,PU,10/28,40.48670158,-107.23411533,40.47565947,-107.20121741,10000,150,ASPH,GOOD,GRVD,,,,,,HIGH,FAA OE/AAA,8/14/2014 12:00:00 AM,75,170,260,,1.47958844536333E-05,0.0702730393306708
896,7/11/2024 12:00:00 AM,02637.,A,CO,K08,HOLLY,HOLLY,US,PU,PU,17/35,38.04080833,-102.116725,38.02943888,-102.11661666,4140,40,GRVL-DIRT,GOOD,NONE,,,,,,NSTD,,,,,,,1.57899194164202E-06,0.0230176821144755
897,7/11/2024 12:00:00 AM,02638.9,A,CO,HEQ,HOLYOKE,HOLYOKE,US,PU,PU,14/32,40.57529288,-102.27735966,40.56356636,-102.26801866,5000,75,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,7/10/2020 12:00:00 AM,12.5,,,,3.70393536286429E-06,0.0304929193217019
898,7/11/2024 12:00:00 AM,02640.62,A,CO,18V,PLATTE VALLEY AIRPARK,HUDSON,US,PR,PU,09/27,40.10874722,-104.70605,40.10701111,-104.6974,2500,90,TURF-GRVL,FAIR,NONE,,,,,,,,,,,,,2.20881292989361E-06,0.0181499936978836
899,7/11/2024 12:00:00 AM,02640.62,A,CO,18V,PLATTE VALLEY AIRPARK,HUDSON,US,PR,PU,15/33,40.10501458,-104.70271811,40.09411888,-104.69903119,4100,40,ASPH,GOOD,NONE,,,,,,LOW,,,,,,,1.60962963491329E-06,0.0232874171037505
900,7/11/2024 12:00:00 AM,02644.,A,CO,7V8,JULESBURG MUNI,JULESBURG,US,PU,PU,13/31,40.97488888,-102.31948611,40.96562777,-102.31106111,4100,60,ASPH,GOOD,NONE,,,,,,MED,REGION,3/30/2009 12:00:00 AM,12,,,,2.44408192884293E-06,0.0254435148745807
901,7/11/2024 12:00:00 AM,02646.65,A,CO,CO04,DENNING,KEENESBURG,US,PR,PR,17/35,40.00311111,-104.41563888,40.000743,-104.415629,863,35,GRVL,FAIR,NONE,,,,,,,OWNER,8/10/2023 12:00:00 AM,,,,,2.95851350529119E-07,0.00498612203669684
902,7/11/2024 12:00:00 AM,02649.,A,CO,20V,MC ELROY AIRFIELD,KREMMLING,US,PU,PU,09/27,40.05523208,-106.3785843,40.05163555,-106.35936502,5540,75,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,8/26/2022 12:00:00 AM,46,68,,,4.07250399803161E-06,0.0395254691530826
903,7/11/2024 12:00:00 AM,02651.,A,CO,LHX,LA JUNTA MUNI,LA JUNTA,US,PU,PU,08/26,38.0481393,-103.52334022,38.048204,-103.49956238,6849,75,ASPH,GOOD,NONE,,,,,,MED,NGS,11/29/2007 12:00:00 AM,30,50,90,,4.8971078285831E-06,0.0479677582376263
904,7/11/2024 12:00:00 AM,02651.,A,CO,LHX,LA JUNTA MUNI,LA JUNTA,US,PU,PU,12/30,38.05782275,-103.51485708,38.04651122,-103.50066672,5803,60,ASPH-CONC,POOR,NONE,,,,,,,NGS,11/29/2007 12:00:00 AM,50,65,100,,3.31983255819068E-06,0.03667019929668
905,7/11/2024 12:00:00 AM,02654.,A,CO,LAA,SOUTHEAST COLORADO RGNL,LAMAR,US,PU,PU,08/26,38.07391872,-102.69353561,38.07400552,-102.67616638,5001,60,ASPH,FAIR,AFSC,,,,,,MED,3RD PARTY SURVEY,7/31/2020 12:00:00 AM,35,50,95,,2.86181580122502E-06,0.0350684191558966
906,7/11/2024 12:00:00 AM,02654.,A,CO,LAA,SOUTHEAST COLORADO RGNL,LAMAR,US,PU,PU,18/36,38.0748578,-102.68955491,38.05779325,-102.69321316,6304,100,CONC,GOOD,GRVD,12,R,B,W,U,MED,3RD PARTY SURVEY,7/31/2020 12:00:00 AM,45,55,100,,6.01168744651659E-06,0.0355955642892639
907,7/11/2024 12:00:00 AM,02657.,A,CO,7V9,CITY OF LAS ANIMAS - BENT COUNTY,LAS ANIMAS,US,PU,PU,08/26,38.05454722,-103.24515,38.05350555,-103.23177222,3870,40,ASPH,FAIR,NONE,,,,,,HIGH,,,5,,,,1.47652986015601E-06,0.0270568614239968
908,7/11/2024 12:00:00 AM,02658.55,A,CO,CO70,BIGFOOT TURF,LA SALLE,US,PR,PR,10/28,40.325525,-104.61860833,40.32438888,-104.61159166,1998,35,TURF,FAIR,NONE,,,,,,,OWNER,10/6/2020 12:00:00 AM,,,,,6.89031821821118E-07,0.0144111410857204
909,7/11/2024 12:00:00 AM,02659.,A,CO,07V,CUCHARA VALLEY AT LA VETA,LA VETA,US,PU,PU,06/24,37.52201305,-105.01899916,37.525635,-104.9995375,5798,60,ASPH,POOR,NONE,,,,,,MED,,,,,,,3.2931930036284E-06,0.03992608683185
910,7/11/2024 12:00:00 AM,02660.1,A,CO,LXV,LAKE COUNTY,LEADVILLE,US,PU,PU,16/34,39.22812233,-106.31831466,39.21080775,-106.31453391,6400,75,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,10/27/2009 12:00:00 AM,20,20,,,4.64903314423282E-06,0.0359715836544544
911,7/11/2024 12:00:00 AM,02665.1,A,CO,LIC,LIMON MUNI,LIMON,US,PU,PU,16/34,39.28113161,-103.66737197,39.26844369,-103.66437477,4700,60,CONC,FAIR,NONE,,,,,,MED,,,12.5,,,,2.7339801818016E-06,0.0264953711558426
912,7/11/2024 12:00:00 AM,02669.,A,CO,LMO,VANCE BRAND,LONGMONT,US,PU,PU,11/29,40.16794202,-105.17086175,40.16083777,-105.1564078,4799,75,CONC,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,5/10/2012 12:00:00 AM,30,,,,3.53401310349E-06,0.0326626831731895
913,7/11/2024 12:00:00 AM,02680.01,A,CO,10CO,MACK MESA,MACK,US,PR,PR,07/25,39.26780822,-108.86861269,39.26840705,-108.85945969,2600,60,ASPH,GOOD,NONE,,,,,,,,,,,,,1.51306903717341E-06,0.0186753473129416
914,7/11/2024 12:00:00 AM,02685.,A,CO,EEO,MEEKER COULTER FLD,MEEKER,US,PU,PU,03/21,40.04192263,-107.89331463,40.05568236,-107.87853211,6503,100,ASPH,GOOD,NONE,16,F,C,X,U,MED,3RD PARTY SURVEY,9/21/2011 12:00:00 AM,30,60,,,6.37355879007373E-06,0.0410431635821238
915,7/11/2024 12:00:00 AM,02690.1,A,CO,MVI,MONTE VISTA MUNI,MONTE VISTA,US,PU,PU,02/20,37.52019875,-106.05300602,37.53442458,-106.043266,5902,60,ASPH,FAIR,NONE,,,,,,MED,3RD PARTY SURVEY,3/25/2020 12:00:00 AM,12.5,,,,3.35236791215721E-06,0.0348774968051979
