ID,ARPT_ID,LAT1_DECIMAL,LONG1_DECIMAL,LAT2_DECIMAL,LONG2_DECIMAL
245528,00CA,35.3493003845214,-116.892997741699,35.3602981567382,-116.87799835205
240309,00WI,44.30419921875,-89.052001953125,44.304401397705,-89.0482025146484
252236,01A,62.940214,-152.272933,62.941297,-152.266286
256815,01C,43.3417015075683,-85.7798995971679,43.3417015075683,-85.7703018188476
258036,01ID,42.6110000610351,-112.035003662109,42.6036987304687,-112.03099822998
254664,01J,30.6909008026123,-81.9064025878906,30.6816997528076,-81.9049987792968
240115,01LS,30.7227001190185,-91.0802001953125,30.7224998474121,-91.0745010375976
243448,01MT,48.7949981689453,-114.886001586914,48.7832984924316,-114.875
345167,01OL,34.3607215881347,-96.7364730834961,34.3930549621582,-96.6888885498046
239731,01WI,44.0055999755859,-90.3905029296875,44.0117988586425,-90.3891983032226
341547,02FD,30.9475994110107,-86.636001586914,30.9570999145507,-86.6349029541015
245857,03CO,40.2167015075683,-104.749000549316,40.2083015441894,-104.739997863769
240582,04CA,34.5666,-117.683,34.5667,-117.6575
251866,04I,39.9091987609863,-83.1928024291992,39.913101196289,-83.184700012207
239977,04MS,32.9441986083984,-90.8373031616211,32.9348983764648,-90.8373031616211
240873,04NV,35.7518005371093,-115.667999267578,35.7592010498046,-115.662002563476
342439,04TT,29.7195415496826,-99.5453948974609,29.7066898345947,-99.5458602905273
248135,04V,38.1040992736816,-106.185997009277,38.0941009521484,-106.16300201416
253744,04W,46.0213012695312,-92.9001007080078,46.0243988037109,-92.8901977539062
240517,05CL,38.6130981445312,-122.397003173828,38.608600616455,-122.386001586914
239914,05LS,31.2471008300781,-92.4783020019531,31.2528991699218,-92.4755020141601
251648,05PS,40.1412010192871,-77.8655014038086,40.1459999084472,-77.8600006103515
242390,05UT,37.0379981994628,-110.320999145507,37.0287017822265,-110.314002990722
255388,05V,37.404800415039,-105.559997558593,37.4174995422363,-105.545997619628
252823,05Y,46.3083992004394,-95.4422988891601,46.2995986938476,-95.4422988891601
245598,06FA,26.9081001281738,-80.3392028808593,26.9081993103027,-80.3177032470703
243386,06MO,39.2352981567382,-94.806396484375,39.227798461914,-94.8022003173828
247424,06N,41.4301986694335,-74.3961029052734,41.4337005615234,-74.3870010375976
245133,06TE,30.3122997283935,-95.0307998657226,30.3131008148193,-95.0229034423828
340869,06TT,30.8628997802734,-100.205703735351,30.857099533081,-100.198303222656
257201,06WN,46.9263000488281,-122.557998657226,46.923599243164,-122.547996520996
252720,06Y,45.8331985473632,-96.1635971069336,45.8261985778808,-96.1574020385742
246800,07B,44.4518013000488,-68.5727996826171,44.4441986083984,-68.5665969848632
249201,07D,43.0676002502441,-82.7239990234375,43.0614013671875,-82.7236022949218
245843,07FA,25.3206996917724,-80.2791976928711,25.3300991058349,-80.2704010009765
355065,07IA,40.650081,-95.021511,40.645694,-95.021189
250306,07K,41.1164016723632,-98.0532989501953,41.1067008972168,-98.0494003295898
243729,07MT,48.4303016662597,-106.552001953125,48.4118003845214,-106.503997802734
245010,07TE,27.7257995605468,-97.5175018310546,27.7164001464843,-97.5064010620117
250120,07Y,46.9594993591308,-93.5992965698242,46.9520988464355,-93.5955963134765
256187,08B,44.0017013549804,-69.8899993896484,43.9982986450195,-69.8843002319336
240690,08MS,34.6604995727539,-89.8741989135742,34.6640014648437,-89.8625030517578
255617,08R,41.4898986816406,-71.6244964599609,41.4891014099121,-71.6167984008789
241351,08TE,29.9801998138427,-98.7447967529296,29.9719009399414,-98.7425003051757
241029,09CL,39.1100006103515,-121.05899810791,39.1175003051757,-121.054000854492
240175,09FA,27.2521991729736,-81.413101196289,27.238899230957,-81.413101196289
253546,09S,48.8432998657226,-117.283996582031,48.8385009765625,-117.283996582031
244478,09TS,29.482400894165,-103.170997619628,29.482400894165,-103.157997131347
247079,0AK,61.934601,-162.906998,61.934502,-162.891998
240292,0AZ2,33.7793998718261,-113.643997192382,33.7766990661621,-113.639999389648
240293,0AZ2,33.7827987670898,-113.640998840332,33.7733001708984,-113.641998291015
255100,0B2,44.7615013122558,-68.7670974731445,44.7662010192871,-68.7685012817382
257597,0C1,39.4846992492675,-94.7817993164062,39.4908981323242,-94.7791976928711
255168,0C2,41.7709007263183,-88.7083969116211,41.7709007263183,-88.6986999511718
248990,0C5,43.5816001892089,-85.2806015014648,43.5712013244628,-85.2806015014648
257174,0C7,41.52730178833,-89.1328964233398,41.5163993835449,-89.1324005126953
246710,0C8,41.5233993530273,-88.6051025390625,41.5155982971191,-88.6051025390625
241917,0CA9,35.5993995666503,-120.338996887207,35.5903015136718,-120.337997436523
239799,0CO2,38.8544006347656,-106.938003540039,38.8488006591796,-106.926002502441
246371,0D7,40.790599822998,-83.8326034545898,40.790599822998,-83.8255004882812
248718,0G0,43.1032981872558,-78.7086029052734,43.103099822998,-78.6980972290039
254280,0H7,40.4222984313964,-91.7114028930664,40.421100616455,-91.7018966674804
254904,0I2,39.4767990112304,-87.1048965454101,39.4766998291015,-87.094497680664
239982,0ID2,44.4458999633789,-113.785003662109,44.4398002624511,-113.761001586914
329281,0ID9,46.7844429016113,-116.475555419921,46.7861099243164,-116.471130371093
352230,0IL7,39.7856941223144,-88.5467224121093,39.7801399230957,-88.5466918945312
252204,0J0,31.6040992736816,-85.2388000488281,31.5962009429931,-85.2375030517578
241681,0KY1,36.7661018371582,-86.6237030029296,36.7649993896484,-86.6128997802734
347760,0MI8,44.8945541381835,-84.3010559082031,44.890567779541,-84.2999496459961
